Date,Open,High,Low,Close,Volume
2023-09-14,26.63,27.03,26.3,26.75,3207
2024-06-26,35.01,37.79,35.01,37.44,15992
2024-06-27,37.93,39.67,37.74,39.035,8652
2024-07-05,39.85,39.93,39.29,39.75,3872
2024-07-10,39.61,39.68,38.77,39.68,5054
2024-08-01,35.38,35.54,32.47,33.14,12448
2024-08-02,26.81,27.59,24.87,27.36,12678
2024-08-06,25.23,26.31,24.41,25.45,15231
2024-08-07,26.75,27.08,25.3,25.6,20264
2024-08-08,26.14,26.85,25.8,26.63,7233
2024-08-09,26.73,27.43,26.73,26.96,10160
2024-08-12,26.88,27.43,26.72,26.91,8416
2024-08-13,27.54,28.21,26.98,27.92,5200
2024-08-14,28.08,28.08,27.61,27.87,6322
2024-08-15,29.62,30.47,29.33,30.41,4165
2024-08-21,31.17,31.86,30.86,31.21,7282
2024-08-22,31.35,31.48,29.76,29.76,6479
2024-08-26,29.94,30.15,29.2,29.53,13854
2024-08-28,28.17,28.3,27.42,28.01,5010
2024-09-05,29.5,30.7,29.5,30.12,4886
2024-09-06,29.94,30.08,27.96,27.96,3300
2024-09-10,30.39,30.88,29.83,30.65,7404
2024-09-11,30.26,32.37,29.51,32.37,3849
2024-09-13,32.96,33.6,32.96,33.01,3403
2024-09-25,35.02,35.02,34.65,34.66,5435
2024-09-26,35.25,35.25,33.65,34.19,5057
2024-09-27,33.87,33.92,32.91,32.97,2524
2024-10-01,31.9,32.34,31.52,32.03,4965
2024-10-07,30.78,30.83,30.3,30.475,4550
2024-10-08,30.93,31.17,30.63,31.08,3225
2024-10-10,32.79,32.85,32.17,32.41,4269
2024-10-14,33.32,33.32,32.64,32.87,3307
2024-10-22,32.55,33.95,32.55,33.3,6441
2024-10-23,32.91,32.91,31.29,31.55,3755
2024-10-24,31.875,32.35,31.67,32.14,3323
2024-10-31,33.35,33.38,31.64,31.93,15402
2024-11-01,36.18,36.74,35.72,36.05,21801
2024-11-04,35.43,35.64,34.74,35.11,9100
2024-11-06,36.4,39.27,36.4,39.25,11986
2024-11-07,39.75,40.92,39.75,40.33,4517
2024-11-13,40.2,42.18,40.2,41.83,3700
2024-11-15,38.7,38.89,36.32,37.325,13257
2024-11-19,35.96,38.25,35.96,37.96,6502
2024-11-21,36.49,36.63,34.74,35.68,6433
2024-11-25,36.72,36.79,35.93,36.765,4643
2024-11-27,38.4,38.74,37.99,38.2,4220
2024-12-02,40.42,40.85,39.74,40.02,6582
2024-12-03,40.11,41.24,40.05,41.09,9862
2024-12-04,42.74,43.59,42.58,42.88,5346
2024-12-05,42.86,44.4,42.75,43.76,6391
2024-12-06,44.01,46.34,43.99,46.33,6037
2024-12-09,47.0,47.55,45.85,45.99,9794
2024-12-10,46.27,47.07,45.25,45.5,4316
2024-12-12,46.76,47.38,46.0,46.57,5983
2024-12-16,46.78,48.05,46.21,48.05,9177
2024-12-17,47.43,47.76,46.04,47.285,5557
2024-12-18,47.1,47.39,42.89,42.89,8371
2024-12-19,44.82,44.95,43.93,44.04,19717
2024-12-20,42.69,44.78,42.26,44.63,13891
2024-12-26,45.54,45.6,44.97,45.12,6123
2024-12-27,44.02,44.02,42.7,43.77,9000
2024-12-30,41.98,43.34,41.75,43.01,8670
2024-12-31,43.35,43.35,41.95,42.08,6900
2025-01-02,43.31,44.14,41.55,42.2,12041
2025-01-06,44.98,45.43,44.12,45.12,6920
2025-01-07,44.77,44.78,42.71,43.0,10996
2025-01-08,43.12,43.4,42.38,42.97,7030
2025-01-10,42.12,42.32,40.81,41.6,10029
2025-01-14,42.51,42.65,40.63,41.09,5531
2025-01-15,43.01,43.29,42.51,43.275,4968
2025-01-16,43.01,43.64,42.15,42.2,8944
2025-01-17,43.89,44.34,43.1,44.15,7454
2025-01-21,45.77,46.39,44.64,46.15,13260
2025-01-22,46.86,47.9,46.85,47.79,7085
2025-01-23,47.19,47.87,46.34,47.87,9292
2025-01-24,47.665,48.1,46.86,47.59,4897
2025-01-27,44.86,47.63,44.79,47.63,10714
2025-01-28,47.44,50.09,47.44,49.0,8354
2025-01-29,49.73,49.73,48.25,48.59,12636
2025-01-30,47.53,48.71,46.71,47.415,13800
2025-01-31,48.44,49.74,48.44,48.76,12204
2025-02-03,48.13,48.97,46.8,48.54,32083
2025-02-04,49.1,50.53,48.99,50.46,6674
2025-02-05,47.935,48.67,47.57,47.95,12475
2025-02-06,48.65,49.25,47.9,48.97,31810
2025-02-07,46.07,47.25,44.59,45.26,35831
2025-02-10,45.31,46.8,45.1,46.59,18979
2025-02-11,46.03,46.555,45.43,46.39,7999
2025-02-12,45.21,45.73,44.59,44.85,20889
2025-02-13,44.81,45.37,44.3,45.37,18257
2025-02-14,44.86,44.91,44.15,44.65,6563
2025-02-18,44.74,44.74,42.75,43.82,28090
