Date,Open,High,Low,Close,Volume
2020-10-05,104.94,111.02,103.76,110.78,3373
2020-10-06,114.76,123.64,109.0,109.0,4055
2020-10-22,127.94,142.4,127.94,142.4,2187
2020-11-02,135.72,144.3,132.2,141.82,1820
2020-11-03,152.62,156.14,150.52,152.3,1670
2020-11-04,134.36,134.36,122.14,122.14,4719
2020-11-05,124.22,140.2,124.0,139.72,2308
2020-11-06,141.78,143.1,128.6,131.66,1462
2020-11-09,170.76,198.88,170.76,189.88,13451
2020-11-10,190.38,200.67,187.74,197.58,1700
2020-11-11,194.22,194.22,174.04,178.92,1854
2020-11-12,167.74,171.56,160.32,163.14,1379
2020-12-02,195.12,209.6,195.12,209.6,1423
2020-12-10,218.22,227.38,216.5,227.38,1402
2020-12-17,226.7,229.96,221.74,227.84,1886
2020-12-21,217.81,224.84,212.26,220.4,1725
2020-12-23,227.96,237.36,227.96,237.36,2801
2021-01-06,274.15,310.92,274.15,303.0,2370
2021-01-12,336.22,346.9,331.92,343.36,1614
2021-01-13,334.96,334.96,323.34,333.56,1618
2021-01-27,282.9,287.26,270.4,273.48,1887
2021-02-25,521.6,522.08,460.1,463.22,1557
2021-03-03,484.26,507.24,479.78,482.44,2284
2021-03-08,518.34,551.08,514.14,534.48,1703
2021-03-15,565.62,566.26,536.82,551.04,1356
2021-03-18,570.66,610.96,544.42,549.76,1437
2021-03-19,525.36,552.98,505.78,534.82,2120
2021-03-22,509.88,509.88,474.18,484.48,2250
2021-04-15,460.9,476.38,450.48,473.46,1400
2021-04-20,460.2,460.2,418.55,426.54,2207
2021-04-27,497.72,500.71,488.12,500.71,1424
2021-05-12,546.52,547.74,480.98,483.14,1598
2021-06-17,482.48,486.02,431.32,431.64,4222
2021-06-18,413.02,416.78,390.01,391.34,2585
2021-06-21,407.1,436.6,407.1,436.6,2138
2021-10-25,571.6,571.6,553.5,559.1,488
2021-10-26,558.3,559.9,543.15,546.1,384
2021-11-04,592.9,592.9,555.0,569.5,341
2021-11-09,573.7,587.95,569.9,583.5,230
2021-11-12,594.2,599.9,575.4,584.3,281
2021-11-26,528.7,528.7,485.4,510.8,745
2021-11-30,486.8,501.25,470.1,478.5,430
2022-01-04,557.5,582.65,553.8,573.3,575
2022-01-26,525.3,552.0,500.6,517.6,330
2022-01-28,483.1,489.5,453.3,489.5,446
2022-02-11,558.1,591.5,548.7,556.4,501
2022-02-24,449.4,475.2,430.8,474.4,480
2022-03-01,511.8,511.8,449.1,456.2,1551
2022-03-04,464.9,465.9,432.9,447.8,1055
2022-03-07,439.1,445.5,392.7,392.7,663
2022-03-08,410.2,433.8,390.6,404.0,368
2022-03-17,471.8,487.75,471.2,482.9,390
2022-03-30,492.0,492.8,437.75,441.8,533
2022-04-06,380.2,380.3,371.1,373.25,342
2022-04-12,363.4,372.9,344.0,347.8,432
2022-05-12,271.55,272.9,257.3,269.9,238
2022-05-13,285.7,286.9,274.2,280.2,245
2022-05-17,286.45,300.7,286.45,299.8,298
2022-05-24,266.7,284.0,266.0,284.0,232
2022-07-18,261.0,263.4,249.1,251.5,282
2022-11-22,290.6,293.6,288.5,292.4,270
2022-12-05,279.7,279.7,244.6,245.8,517
2022-12-07,235.7,247.1,235.7,240.4,238
2023-03-09,193.25,193.25,154.5,154.8,1194
2023-03-10,125.1,152.1,114.6,133.7,4120
2023-03-13,96.25,103.9,70.3,85.3,22855
2023-03-14,109.0,111.3,84.6,88.95,15417
2023-03-15,82.7,95.5,76.05,82.5,20055
2023-03-16,81.4,99.7,74.45,92.45,13920
2023-03-17,87.4,88.0,74.65,76.25,15308
2023-03-20,84.4,88.5,77.9,78.6,14524
2023-03-21,90.7,93.2,87.3,91.4,4295
2023-03-22,90.8,91.8,76.05,76.05,10091
2023-03-23,78.9,79.6,68.5,69.85,6061
2023-03-24,65.6,76.1,65.0,75.4,5210
2023-03-27,83.6,85.0,77.6,77.7,5981
2023-03-28,76.3,79.7,75.1,77.9,6495
2023-03-29,80.5,80.9,76.9,80.4,3753
2023-03-30,82.5,82.5,74.6,75.1,1787
2023-03-31,77.7,77.9,74.8,77.15,2282
2023-04-03,77.7,78.5,73.4,74.35,1753
2023-04-04,75.8,75.8,66.65,69.9,16331
2023-04-05,66.15,68.4,65.05,67.55,7752
2023-04-06,68.4,71.7,67.8,70.0,4148
2023-04-10,67.8,72.9,67.8,71.7,2667
2023-04-11,72.7,73.65,70.8,72.3,2203
2023-04-12,73.8,74.5,69.0,69.9,2439
2023-04-13,69.1,73.4,68.5,72.8,1475
2023-04-14,75.2,75.5,67.4,68.3,2293
2023-04-17,68.0,74.6,66.8,74.4,1768
2023-04-18,74.3,74.3,68.5,70.3,2207
2023-04-19,72.2,79.5,71.0,78.0,4333
2023-04-20,74.1,77.0,72.9,73.9,2440
2023-04-21,71.6,71.6,69.15,71.0,4230
2023-04-24,70.7,71.0,69.6,70.05,1066
2023-04-25,66.4,66.8,60.5,61.2,8732
2023-04-26,61.4,65.1,60.0,62.2,3592
2023-04-27,63.2,66.35,63.1,65.7,3845
2023-04-28,67.0,70.5,67.0,68.9,12110
2023-05-01,69.0,69.3,62.5,63.3,3538
2023-05-02,60.9,61.2,48.0,51.2,47069
2023-05-03,52.3,55.25,47.85,48.3,12852
2023-05-04,42.1,43.6,34.7,40.2,52323
2023-05-05,46.85,48.3,44.2,48.0,13785
2023-05-08,51.55,51.75,44.7,45.05,8474
2023-05-09,43.0,45.4,41.7,44.3,5855
2023-05-10,46.9,46.9,41.55,42.9,10138
2023-05-11,40.6,42.0,39.5,39.95,7843
2023-05-12,40.4,40.6,38.6,40.4,2545
2023-05-15,42.2,45.0,42.2,44.45,4768
2023-05-16,45.6,45.6,42.5,42.5,2820
2023-05-17,46.7,52.2,45.7,51.75,6357
2023-05-18,51.1,53.0,49.9,52.85,5725
2023-05-19,52.7,53.0,47.2,49.55,6371
2023-05-22,51.2,54.7,50.0,54.6,2461
2023-05-23,55.15,60.9,55.15,56.3,5663
2023-05-24,54.5,54.5,51.95,53.2,5137
2023-05-25,51.9,53.0,49.6,51.8,3835
2023-05-26,51.5,53.65,49.6,53.6,3737
2023-05-30,53.2,53.8,51.1,53.6,3204
2023-05-31,51.6,52.0,46.65,48.1,26155
2023-06-01,49.7,52.9,47.45,51.3,5979
2023-06-02,54.3,60.8,53.6,60.6,4126
2023-06-05,60.54,60.54,54.44,55.96,6817
2023-06-06,55.88,66.8,55.88,64.63,13213
2023-06-07,66.15,72.06,65.37,70.99,8454
