Date,Open,High,Low,Close,Volume
2020-11-04,10.16,10.63,10.16,10.31,3400
2020-11-11,11.78,12.1,11.7,11.78,2600
2021-07-19,22.9,22.9,22.015,22.09,7361
2021-07-22,23.3,23.45,23.1,23.39,2800
2021-08-11,23.975,24.05,23.855,24.01,3510
2021-12-02,23.565,25.52,23.565,25.23,5276
2022-02-24,18.02,20.2,17.845,20.15,13705
2022-05-26,17.995,18.295,17.67,18.025,2903
2022-07-01,14.78,15.29,14.565,15.29,2322
2022-09-01,14.99,15.07,14.525,15.07,4400
2022-10-04,10.735,10.735,10.36,10.59,5610
2022-10-12,8.085,8.13,7.995,8.01,3101
2022-10-13,7.47,8.525,7.47,8.435,4222
2022-10-19,8.64,8.76,8.165,8.305,3364
2022-10-24,8.62,8.62,8.2,8.3,3679
2022-10-26,9.39,9.495,9.185,9.26,9162
2022-10-27,9.47,9.47,9.16,9.25,9251
2022-10-28,9.57,9.98,9.57,9.915,13147
2022-10-31,9.73,10.015,9.63,9.895,6562
2022-11-01,10.22,10.26,9.715,9.815,9298
2022-11-14,10.88,11.04,10.4,10.4,6241
2022-11-15,10.78,10.84,10.43,10.84,6070
2022-12-27,9.87,10.05,9.7,9.96,12400
2023-01-05,9.94,9.94,9.64,9.68,6800
2023-01-17,11.96,12.09,11.86,11.88,5100
2023-02-24,10.465,10.58,10.26,10.38,3022
2023-03-30,8.97,9.055,8.915,8.92,3168
2023-04-14,9.49,9.49,8.79,8.945,3821
2023-04-17,9.355,9.455,9.245,9.455,3192
2023-04-25,9.095,9.195,8.98,8.98,3275
2023-06-05,8.82,8.915,8.695,8.715,4084
2023-10-19,6.44,6.505,6.08,6.1,7416
2023-10-23,5.79,6.055,5.79,5.83,9312
2023-10-25,5.71,5.8,5.64,5.66,3555
2023-10-26,6.02,6.105,5.935,6.015,11700
2023-10-30,5.8,5.8,5.54,5.74,10121
2023-11-16,7.76,7.825,7.69,7.79,9509
2023-11-17,7.79,7.79,7.61,7.675,5872
2023-11-20,7.51,7.86,7.51,7.855,12990
2023-11-21,7.74,7.82,7.695,7.745,4615
2023-12-14,10.76,10.965,10.64,10.79,10135
2023-12-27,10.73,10.8,10.64,10.71,7514
2024-01-02,10.64,10.89,10.64,10.87,3907
2024-01-04,10.17,10.28,9.98,10.175,12161
2024-01-05,9.79,10.18,9.73,10.02,8772
2024-01-17,9.865,9.905,9.12,9.35,6768
2024-01-26,9.375,9.38,9.29,9.29,2626
2024-01-29,9.29,9.52,9.29,9.5,5236
2024-01-30,9.32,9.46,9.21,9.23,4375
2024-02-01,8.94,9.48,8.88,9.48,5550
2024-02-05,8.7,8.715,8.56,8.57,4150
2024-02-08,8.95,9.13,8.885,9.07,3429
2024-02-14,8.6,8.83,8.58,8.76,6483
2024-02-28,8.95,9.415,8.94,9.36,6304
2024-03-14,9.68,9.68,9.21,9.38,4754
2024-04-10,8.8,8.8,8.25,8.41,10191
2024-04-15,8.26,8.26,7.61,7.73,5936
2024-04-16,7.36,7.53,7.31,7.37,13357
2024-04-17,7.3,7.37,7.19,7.2,8199
2024-04-18,7.14,7.285,7.1,7.19,7297
2024-04-24,7.58,7.72,7.58,7.72,2773
2024-04-29,7.87,7.87,7.71,7.77,2622
2024-05-01,7.45,7.77,7.36,7.425,9072
2024-05-03,8.15,8.205,7.86,7.93,5212
2024-05-09,8.305,8.495,8.28,8.48,8322
2024-05-10,8.48,8.48,8.32,8.4,2537
2024-05-14,8.72,8.72,8.51,8.635,9362
2024-05-23,8.46,8.46,8.03,8.03,5802
2024-05-29,7.64,7.67,7.565,7.67,5991
2024-05-31,8.155,8.365,8.15,8.365,3000
2024-06-04,8.48,8.675,8.48,8.64,6548
2024-06-12,8.98,9.02,8.595,8.6,5488
2024-06-25,8.53,8.53,8.29,8.4,5045
2024-06-26,8.22,8.39,8.22,8.365,3068
2024-07-01,8.72,8.72,8.375,8.51,7316
2024-07-17,10.41,10.63,10.34,10.47,6566
2024-07-18,10.745,10.745,10.19,10.245,4008
2024-07-19,10.26,10.27,10.075,10.19,6800
2024-07-24,10.36,10.62,10.15,10.15,10000
2024-07-30,10.695,10.73,10.55,10.73,12149
2024-08-01,11.07,11.17,10.81,11.08,11141
2024-08-02,11.12,11.44,10.91,11.16,16761
2024-08-05,10.555,11.13,10.165,10.175,23783
2024-08-06,10.18,11.14,10.17,10.88,8082
2024-08-07,10.87,11.35,10.59,10.59,7697
2024-08-15,10.94,11.17,10.94,11.045,7314
2024-08-19,11.06,11.26,11.05,11.22,14800
2024-08-20,11.19,11.265,11.12,11.265,19770
2024-08-21,11.27,11.4,11.12,11.365,17016
2024-08-22,11.42,11.53,11.34,11.53,7606
2024-08-23,11.69,12.3,11.65,12.26,22694
2024-08-26,12.45,12.46,12.16,12.2,31519
2024-08-27,11.98,12.33,11.94,12.28,41476
2024-08-28,12.31,12.39,11.95,12.18,19532
2024-08-29,11.9,12.09,11.885,11.98,43368
2024-08-30,12.14,12.37,11.9,12.37,72088
2024-09-03,12.13,12.59,12.12,12.3,39156
2024-09-04,12.53,12.86,12.33,12.58,49100
2024-09-05,12.62,12.78,12.32,12.39,43653
2024-09-06,12.37,12.45,12.08,12.3,12660
2024-09-09,12.43,12.92,12.34,12.86,26480
2024-09-10,13.02,13.53,12.93,13.53,12949
2024-09-11,13.11,13.435,12.69,13.435,18892
2024-09-12,13.37,13.5,13.01,13.45,10254
2024-09-13,13.61,13.76,13.56,13.735,13456
2024-09-17,13.89,13.96,13.4,13.52,9015
2024-09-18,13.45,13.92,13.39,13.42,21133
2024-09-19,13.62,13.62,13.06,13.33,19628
2024-09-20,13.08,13.245,12.97,13.22,10092
2024-09-23,13.44,13.665,13.44,13.66,5199
2024-09-26,13.41,13.41,12.88,12.99,21421
2024-09-27,13.22,13.33,13.01,13.06,7779
2024-09-30,12.92,13.39,12.86,13.39,10229
2024-10-01,13.56,13.56,12.99,13.16,11782
2024-10-02,12.76,13.0,12.72,13.0,16933
2024-10-03,12.9,12.9,12.52,12.63,16787
2024-10-04,12.28,12.41,12.035,12.37,10758
2024-10-07,12.11,12.11,11.9,12.06,9197
2024-10-10,12.03,12.27,11.76,11.865,21463
2024-10-11,12.065,12.23,11.98,12.23,5583
2024-10-21,13.065,13.065,12.5,12.53,5675
2024-10-28,13.01,13.16,12.75,12.82,15828
2024-10-29,12.74,12.86,12.43,12.44,17975
2024-10-31,12.21,12.49,11.93,11.93,14258
2024-11-01,12.05,12.19,11.535,11.535,16416
2024-11-04,11.72,11.96,11.665,11.92,7229
2024-11-06,12.12,12.12,11.04,11.415,26932
2024-11-07,11.5,11.885,11.48,11.825,8605
2024-11-11,12.51,12.54,12.09,12.1,11136
2024-11-13,11.99,12.11,11.84,11.9,21308
2024-11-15,11.55,11.64,11.33,11.59,51057
2024-11-20,11.81,12.02,11.74,12.02,10068
2024-11-21,11.98,12.34,11.9,12.23,8041
2024-11-25,12.71,13.16,12.71,13.03,34161
2024-11-27,13.36,13.63,13.36,13.51,15761
2024-12-02,13.02,13.03,12.57,12.62,8509
2024-12-03,12.69,12.69,12.46,12.48,12118
2024-12-05,12.06,12.22,12.0,12.22,12045
2024-12-06,12.33,12.34,11.995,12.17,9112
2024-12-10,12.11,12.11,11.53,11.53,9758
2024-12-11,11.68,11.79,11.45,11.52,22089
2024-12-12,11.545,11.87,11.47,11.58,7711
2024-12-13,11.43,11.52,11.29,11.33,16157
2024-12-16,11.34,11.56,11.16,11.18,8734
2024-12-17,11.07,11.27,11.0,11.0,6019
2024-12-18,10.94,11.055,9.7,9.7,36431
2024-12-19,9.83,9.88,9.19,9.19,12147
2024-12-20,9.5,9.98,9.37,9.7,27804
2024-12-31,9.76,9.885,9.64,9.845,14065
2025-01-02,9.86,9.87,9.49,9.56,26732
2025-01-10,9.0,9.03,8.73,8.74,49798
2025-01-13,8.68,9.05,8.65,9.05,30192
2025-01-14,9.13,9.34,9.1,9.29,21305
2025-01-15,10.0,10.04,9.42,9.42,19192
2025-01-16,9.5,10.05,9.39,10.04,20263
2025-01-17,10.18,10.18,10.01,10.02,30247
2025-01-21,10.17,10.565,10.17,10.56,17479
2025-01-23,10.06,10.24,9.8,10.23,17343
2025-01-27,10.255,10.65,10.25,10.625,12994
2025-01-28,10.52,10.52,10.13,10.24,22087
2025-01-30,10.3,10.445,10.01,10.24,30749
2025-01-31,10.26,10.48,10.11,10.19,10171
2025-02-03,9.9,10.19,9.69,10.14,27357
2025-02-04,9.93,10.19,9.82,10.14,33471
2025-02-05,10.36,10.68,10.2,10.61,27478
2025-02-06,10.75,10.75,10.51,10.69,18535
2025-02-07,10.65,10.76,10.43,10.55,24246
2025-02-10,10.54,10.615,10.37,10.585,15929
2025-02-11,10.47,10.74,10.41,10.74,8299
2025-02-13,10.44,10.81,10.42,10.745,14933
2025-02-14,10.78,10.91,10.59,10.59,23419
2025-02-18,10.5,10.825,10.5,10.665,22782
2025-02-20,10.69,11.02,10.64,10.98,15171
2025-02-21,10.89,10.95,10.52,10.71,22263
2025-02-24,10.6,10.995,10.59,10.81,33826
2025-02-25,10.94,11.3,10.94,11.18,24450
2025-02-26,11.14,11.29,10.93,11.01,29699
2025-02-27,11.2,11.31,11.07,11.12,26700
2025-02-28,11.38,11.44,11.02,11.39,43685
2025-03-03,11.65,11.835,11.47,11.65,37515
2025-03-04,11.72,11.89,11.23,11.29,56562
2025-03-05,10.93,11.63,10.93,11.55,51148
2025-03-06,11.265,11.265,10.57,10.6,119916
2025-03-07,10.64,10.91,10.41,10.78,86634
2025-03-11,10.58,10.58,9.98,10.18,90028
2025-03-12,10.17,10.2,9.94,10.01,34305
2025-03-13,10.05,10.16,9.4,9.4,51682
2025-03-14,9.64,9.99,9.58,9.99,30274
2025-03-17,10.03,10.58,10.03,10.51,25435
2025-03-18,10.39,10.64,10.23,10.33,36132
2025-03-19,10.31,10.56,10.08,10.34,43698
2025-03-20,10.3,10.44,10.24,10.3,37400
2025-03-21,10.1,10.16,9.85,10.0,18595
2025-03-24,10.165,10.45,10.165,10.45,12497
2025-03-26,10.035,10.23,10.0,10.11,21563
2025-03-27,10.1,10.37,10.0,10.08,9262
2025-03-28,10.16,10.16,9.83,10.01,16673
2025-03-31,10.1,10.48,10.1,10.34,19005
2025-04-01,10.33,10.42,10.0,10.35,14894
2025-04-02,10.19,10.54,10.19,10.53,9185
2025-04-03,10.305,10.46,9.53,9.53,44545
2025-04-04,8.92,9.1,8.21,8.23,51904
2025-04-07,7.57,8.51,7.17,7.62,79003
2025-04-08,7.99,8.12,6.84,7.04,57361
2025-04-09,6.67,8.35,6.31,8.27,189772
2025-04-10,7.98,8.26,7.19,7.75,107507
2025-04-11,7.4,8.09,7.39,8.06,15090
2025-04-14,8.35,8.67,8.34,8.56,10050
2025-04-15,8.71,8.79,8.61,8.68,13590
2025-04-16,8.73,8.94,8.47,8.57,13199
2025-04-17,8.87,9.18,8.87,9.02,9236
2025-04-21,8.79,8.81,8.18,8.46,22279
2025-04-22,8.75,9.06,8.7,8.99,49931
2025-04-23,9.23,9.5,8.87,9.04,54736
2025-04-24,8.98,9.28,8.91,9.09,52269
2025-04-25,9.15,9.17,8.86,9.04,22529
2025-04-29,9.18,9.525,9.18,9.42,20329
2025-04-30,9.25,9.59,9.1,9.58,26838
2025-05-01,9.61,9.855,9.46,9.6,30147
2025-05-02,9.97,10.05,9.845,9.96,39141
2025-05-05,9.925,10.04,9.75,9.94,11502
2025-05-06,9.75,9.93,9.6,9.7,17771
2025-05-07,9.73,9.93,9.66,9.72,35479
2025-05-08,9.76,9.85,9.52,9.54,37098
2025-05-09,9.52,9.79,9.49,9.73,19912
2025-05-12,9.98,9.98,9.6,9.74,24574
2025-05-13,9.4,9.43,9.25,9.37,14912
2025-05-15,9.21,9.6,9.2,9.6,12115
2025-05-21,9.64,9.65,9.09,9.11,15380
2025-05-22,9.04,9.09,8.77,8.96,11681
2025-05-27,9.11,9.48,9.11,9.385,9485
2025-05-29,9.47,9.78,9.41,9.665,19368
2025-06-02,9.5,9.71,9.23,9.71,13833
2025-06-03,9.6,9.63,9.43,9.61,9582
2025-06-05,9.6,9.84,9.55,9.65,21188
2025-06-12,9.82,10.02,9.82,9.92,7410
2025-06-13,9.73,9.84,9.59,9.63,7028
2025-06-16,9.8,10.09,9.67,9.735,9184
2025-06-24,10.09,10.27,9.93,10.195,7605
2025-06-25,9.72,9.96,9.41,9.41,12224
2025-06-26,9.455,9.455,8.92,9.245,26585
2025-06-27,9.23,9.6,9.23,9.335,18931
2025-07-01,9.52,9.83,9.49,9.72,8242
2025-07-02,9.67,9.825,9.545,9.76,12122
2025-07-07,9.77,9.89,9.39,9.55,21226
2025-07-09,9.48,9.56,9.39,9.52,8349
2025-07-10,9.59,9.79,9.59,9.64,8495
2025-07-11,9.36,9.64,9.36,9.58,7191
2025-07-14,9.6,9.795,9.6,9.795,4650
2025-07-15,9.78,9.78,9.345,9.45,14031
2025-07-16,9.65,9.71,9.54,9.71,4693
2025-07-17,9.645,9.75,9.575,9.67,8881
2025-07-18,9.68,9.82,9.68,9.75,5035
2025-07-23,10.4,10.47,10.315,10.45,14258
2025-07-24,10.38,10.515,10.38,10.425,4640
2025-07-25,10.23,10.39,10.08,10.35,8270
2025-07-28,10.23,10.25,9.85,9.85,15937
2025-07-29,9.88,10.36,9.88,10.36,18680
2025-07-30,10.29,10.34,9.74,9.91,14225
2025-07-31,9.715,9.82,9.355,9.36,21814
2025-08-01,9.65,9.65,9.14,9.3,22215
2025-08-05,9.51,9.68,9.43,9.62,10276
2025-08-06,9.64,9.685,9.38,9.38,5711
2025-08-11,9.13,9.26,9.07,9.075,6903
2025-08-12,9.11,9.12,8.91,9.09,8770
2025-08-13,9.23,9.32,9.07,9.3,11640
