Date,Open,High,Low,Close,Volume
2020-08-11,39.83,40.31,38.98,38.98,4558
2020-09-04,40.28,40.28,37.71,38.88,5600
2020-09-21,34.08,34.15,32.64,33.715,19197
2020-10-02,33.33,35.65,33.33,35.11,9711
2020-10-28,33.21,33.33,32.05,32.68,5894
2020-11-03,37.25,38.75,37.25,37.885,29733
2020-11-04,36.6,38.42,35.14,36.64,12475
2020-11-06,39.57,39.57,37.89,38.3,5925
2020-11-09,44.97,48.8,44.97,46.795,79366
2020-11-10,46.68,48.39,46.29,48.12,7367
2020-11-12,45.55,45.87,44.035,44.72,6715
2020-11-13,46.0,47.66,46.0,47.23,4610
2020-12-21,55.63,57.08,54.16,56.24,8913
2021-01-06,62.49,68.0,62.3,66.605,25758
2021-01-07,69.6,71.42,69.37,69.75,7886
2021-01-08,70.04,70.04,66.7,69.41,4968
2021-01-11,67.195,70.42,66.86,70.15,3978
2021-01-12,71.14,73.09,71.14,72.375,8086
2021-01-15,69.79,70.75,67.91,69.05,6370
2021-01-27,60.3,60.4,57.14,57.2,7861
2021-01-29,59.92,60.14,56.7,57.06,6648
2021-02-03,63.46,64.445,63.22,64.445,3880
2021-02-22,78.65,81.55,78.65,80.77,9442
2021-02-23,81.95,82.07,79.98,82.03,3557
2021-02-24,83.375,87.39,83.36,86.88,7801
2021-02-25,88.17,88.91,81.77,82.4,11737
2021-02-26,82.18,82.52,77.22,77.84,11283
2021-03-01,81.86,86.1,81.86,84.75,6934
2021-03-02,85.03,85.56,83.89,84.485,4273
2021-03-03,84.98,89.05,84.98,85.995,8725
2021-03-04,85.59,87.05,78.85,82.04,12062
2021-03-05,85.66,87.61,80.71,86.96,13618
2021-03-08,88.77,93.68,88.77,91.44,11401
2021-03-09,89.02,91.92,85.78,88.65,6220
2021-03-10,90.34,94.38,90.31,93.4,7313
2021-03-11,92.27,94.47,91.455,92.92,6679
2021-03-15,96.37,96.51,92.35,94.98,5686
2021-03-16,93.1,93.1,90.1,91.76,3912
2021-03-17,93.63,94.65,90.93,93.61,8094
2021-03-18,96.46,100.27,94.27,94.27,10882
2021-03-19,92.12,93.04,89.33,91.96,11487
2021-03-22,89.6,90.05,87.66,88.38,5130
2021-03-23,86.37,88.2,83.98,84.38,7484
2021-03-24,86.87,88.93,85.67,85.67,5952
2021-03-25,84.88,89.04,82.95,89.04,5734
2021-03-30,93.29,93.925,92.22,92.475,3760
2021-03-31,92.15,93.25,90.83,90.83,4028
2021-04-07,97.29,97.29,95.39,96.81,4174
2021-04-14,98.44,101.74,98.44,99.91,2651
2021-04-21,95.03,99.385,95.03,99.385,5444
2021-04-22,98.77,98.94,96.3,96.3,5994
2021-04-23,96.2,102.52,96.2,101.76,3937
2021-04-29,108.87,111.16,108.34,111.05,5697
2021-04-30,109.18,110.43,108.07,108.16,2784
2021-05-04,110.07,112.15,106.73,112.15,4894
2021-05-07,115.74,121.41,115.68,121.355,3228
2021-05-10,124.05,125.59,120.98,120.98,4550
2021-05-11,117.15,120.16,113.13,114.64,6214
2021-05-12,116.91,118.11,109.18,109.79,7628
2021-05-13,111.95,117.82,111.95,116.16,8027
2021-05-17,121.16,121.78,119.1,121.39,3847
2021-05-19,112.03,114.91,109.39,114.91,9632
2021-05-20,114.91,117.12,113.2,115.09,4507
2021-05-21,116.72,119.87,116.72,118.73,3322
2021-05-25,121.32,122.55,115.66,115.92,4605
2021-05-28,120.82,122.1,119.34,121.7,3241
2021-06-01,124.87,125.54,122.85,123.51,5163
2021-06-03,122.55,126.42,121.61,124.66,4271
2021-06-09,120.57,120.57,118.69,118.99,6064
2021-06-16,111.81,115.875,109.98,114.245,10176
2021-06-17,114.85,114.85,103.3,104.0,13269
2021-06-18,99.63,100.04,96.25,96.69,11586
2021-06-21,98.84,103.025,98.84,103.005,7055
2021-06-22,103.2,104.08,100.66,103.39,6601
2021-06-23,104.24,105.19,103.17,104.14,8217
2021-06-25,108.06,112.25,107.61,111.655,8161
2021-06-29,112.25,112.25,107.57,108.22,5211
2021-07-07,104.19,106.65,103.94,106.64,7084
2021-07-08,101.62,103.25,98.66,100.02,10430
2021-07-12,106.35,111.93,106.35,111.59,9009
2021-07-13,108.94,109.89,106.66,107.5,3670
2021-07-14,107.83,109.84,102.93,106.09,6034
2021-07-19,97.81,97.915,93.44,94.81,6529
2021-07-20,94.91,102.94,94.91,101.52,4781
2021-07-21,104.6,108.0,104.4,106.63,4830
2021-07-28,106.83,107.42,103.5,105.51,4035
2021-08-02,109.61,112.16,106.79,106.79,5528
2021-08-06,114.85,118.6,114.52,118.19,11798
2021-08-09,117.8,120.88,116.85,119.32,4899
2021-08-10,119.89,123.7,118.99,122.38,3923
2021-08-11,123.91,126.79,122.84,126.79,5990
2021-08-12,127.04,127.65,125.39,127.23,6044
2021-08-16,122.77,124.0,119.53,123.97,10557
2021-08-17,121.65,123.76,117.73,120.98,4559
2021-08-19,113.08,116.99,112.17,114.02,5959
2021-08-25,123.19,127.88,122.8,126.19,6366
2021-08-26,126.87,127.84,124.27,124.27,8123
2021-08-27,124.5,129.1,124.5,129.1,5248
2021-08-30,125.62,127.43,124.36,124.36,6998
2021-09-16,120.88,121.7,117.11,118.19,3587
2021-09-20,109.02,109.28,103.47,107.86,5456
2021-09-21,109.75,110.54,107.29,107.86,6101
2021-09-22,111.52,114.06,110.65,112.575,4165
2021-09-28,125.84,127.53,120.05,120.53,4744
2021-09-30,121.46,122.57,115.68,115.68,3892
2021-10-01,117.43,122.76,115.31,120.87,2985
2021-10-04,120.02,123.39,117.08,117.81,4240
2021-10-06,120.4,124.7,118.775,124.7,5173
2021-10-07,128.89,130.94,127.59,127.59,12686
2021-10-12,124.8,127.03,124.64,125.26,3512
2021-10-13,124.19,124.43,118.7,123.79,7001
2021-10-15,133.45,137.13,133.23,135.42,5608
