Date,Open,High,Low,Close,Volume
2024-04-24,36.9,37.59,36.67,37.5,4300
2024-08-21,37.91,38.36,37.75,38.09,5952
2024-10-28,37.56,37.89,36.16,37.32,12296
2024-10-29,37.79,38.88,37.54,38.58,21767
2024-10-30,43.64,44.1,40.61,40.61,24351
2024-10-31,40.28,41.71,39.155,39.18,10642
2024-11-01,38.64,39.56,38.64,39.23,5624
2024-11-06,40.53,41.71,40.52,41.55,6519
2024-11-08,42.69,42.99,42.31,42.35,3977
2024-11-13,43.36,43.36,42.51,42.6,5587
2024-11-14,41.86,42.22,40.48,41.05,5857
2024-11-21,38.96,38.96,35.49,37.16,12565
2024-11-22,36.16,36.59,35.68,35.865,7160
2024-12-06,38.9,40.22,38.9,40.08,3079
2024-12-10,43.75,45.335,43.3,45.01,17673
2024-12-11,46.07,49.88,46.07,49.88,10504
2024-12-12,48.64,49.35,47.66,47.77,6736
2024-12-16,48.95,51.19,48.22,49.97,9167
2024-12-17,50.73,52.32,49.3,49.34,10370
2024-12-19,47.645,47.645,45.87,46.11,5109
2024-12-26,48.92,49.43,48.69,48.91,3285
2024-12-27,48.42,48.42,46.48,47.43,6759
2024-12-30,45.77,47.21,45.77,47.01,7195
2025-01-02,46.28,46.63,44.86,45.64,8525
2025-01-08,47.11,48.91,47.11,47.81,6222
2025-01-10,47.805,48.38,46.02,46.82,11142
2025-01-13,45.24,46.22,44.58,46.12,5446
2025-01-21,50.28,51.55,49.49,49.55,8332
2025-01-23,49.7,50.6,48.46,49.45,7690
2025-01-27,46.63,48.82,46.04,46.3,5480
2025-01-29,48.04,48.53,47.28,48.01,5680
2025-01-30,49.64,50.91,49.125,50.69,13017
2025-01-31,51.27,52.84,51.27,52.3,9360
2025-02-03,50.33,52.01,50.2,50.79,21858
2025-02-04,51.79,53.715,51.67,53.41,42556
2025-02-05,45.13,46.24,43.88,45.6,67991
2025-02-06,44.34,45.78,44.34,45.69,22257
2025-02-07,45.0,45.38,41.71,42.69,43559
2025-02-10,43.53,43.91,43.07,43.14,14173
2025-02-11,42.35,43.31,42.28,42.63,7762
2025-02-12,41.38,42.29,41.38,41.71,12512
2025-02-13,41.74,42.97,41.65,42.97,15028
2025-02-14,42.19,42.94,42.09,42.47,6726
2025-02-18,42.55,42.67,40.9,41.76,20377
2025-02-19,42.02,42.48,41.78,42.42,7740
2025-02-20,42.1,42.23,41.34,42.12,11618
2025-02-21,42.18,42.18,39.65,39.795,13921
2025-02-24,40.91,41.09,39.5,39.66,16289
2025-02-25,38.7,39.3,37.65,37.9,30474
2025-02-26,37.5,38.19,36.3,36.75,28795
2025-02-27,37.2,37.46,34.79,34.89,23977
2025-02-28,34.895,35.68,34.3,35.68,28647
2025-03-03,36.275,36.82,33.83,34.11,36697
2025-03-04,33.96,36.765,33.95,35.8,54715
2025-03-05,36.15,37.035,35.13,36.7,27190
2025-03-06,35.72,37.46,35.72,36.35,23401
2025-03-07,36.38,37.39,35.64,37.09,18074
2025-03-11,33.74,34.03,31.89,32.95,30107
2025-03-12,34.22,34.36,32.76,34.19,23485
2025-03-13,33.32,33.59,32.19,32.35,18851
2025-03-14,32.7,33.57,32.39,33.56,12727
2025-03-17,33.49,33.64,32.74,32.94,16547
2025-03-18,32.55,32.8,29.93,31.36,24240
2025-03-19,31.88,33.49,31.65,32.74,22881
2025-03-20,31.67,33.08,31.67,32.27,11218
2025-03-21,31.68,32.77,31.68,32.73,14038
2025-03-24,33.65,34.24,33.31,34.13,15217
2025-03-26,34.52,34.71,32.79,32.87,16920
2025-03-27,32.86,32.86,31.65,31.74,11046
2025-03-28,31.12,31.48,28.43,28.61,50678
2025-03-31,28.27,28.94,27.33,28.69,12517
2025-04-01,28.47,29.96,28.47,29.58,20160
2025-04-02,28.86,30.0,28.86,29.55,20565
2025-04-03,27.275,27.88,27.09,27.16,23060
2025-04-04,26.28,27.17,25.27,25.29,46647
2025-04-07,23.74,27.63,23.73,25.68,74069
2025-04-08,27.15,27.6,24.52,25.03,45181
2025-04-09,25.12,29.97,24.72,29.91,42792
2025-04-10,29.0,29.24,26.56,27.5,29834
2025-04-11,27.71,29.17,27.66,29.06,20028
2025-04-14,30.14,30.73,29.31,29.8,16719
2025-04-15,29.95,29.95,28.47,28.82,11384
2025-04-16,27.78,28.59,27.01,27.63,13323
2025-04-17,27.92,27.92,25.98,26.84,13672
2025-04-21,25.97,25.97,25.1,25.67,5641
2025-04-22,26.2,27.11,25.94,26.91,13661
2025-04-23,28.33,29.0,27.82,28.31,22901
2025-04-24,28.8,29.79,28.58,29.67,24559
2025-04-25,31.76,31.94,30.38,30.7,26439
2025-04-28,31.02,31.02,29.44,30.18,8403
2025-04-29,29.47,30.17,28.98,29.94,17138
2025-04-30,28.93,29.53,28.19,29.43,10679
2025-05-01,30.175,30.59,29.55,30.29,12453
2025-05-02,31.155,31.7,30.59,31.38,10232
2025-05-05,31.61,31.84,31.39,31.42,3775
2025-05-06,30.5,31.45,30.3,31.14,7915
2025-05-07,31.23,31.35,25.23,26.51,154591
2025-05-08,27.65,28.1,27.1,27.51,35036
2025-05-09,27.43,27.62,26.78,26.95,48815
2025-05-12,28.7,29.13,28.2,28.94,19908
2025-05-13,28.775,29.68,28.15,29.35,25821
2025-05-14,29.4,32.06,29.38,31.49,43274
2025-05-15,31.78,31.78,30.37,30.89,21494
2025-05-16,32.18,32.85,31.63,31.75,19525
2025-05-19,31.0,31.84,31.0,31.84,16073
2025-05-20,31.495,32.57,30.5,30.9,33602
2025-05-21,30.79,34.29,30.79,32.585,36151
2025-05-22,34.05,35.73,33.43,33.46,39285
2025-05-23,32.69,33.03,32.28,32.46,22655
2025-05-27,33.29,34.27,33.19,34.18,18744
2025-05-28,34.87,35.05,33.79,33.95,12903
2025-05-29,34.59,34.61,33.31,33.73,14462
2025-05-30,33.52,33.83,32.0,33.64,25845
2025-06-02,32.73,32.9,32.13,32.6,14720
2025-06-03,31.48,32.33,31.19,31.5,36940
2025-06-04,32.12,32.25,31.6,32.22,13713
2025-06-05,32.88,33.15,32.09,32.24,19992
