Date,Open,High,Low,Close,Volume
2020-07-27,1182.0,1268.8,1182.0,1265.4,383
2020-07-29,1185.4,1185.4,1100.4,1103.0,150
2020-07-30,1103.8,1170.4,1101.0,1158.0,293
2020-07-31,1156.4,1156.4,1027.0,1066.2,522
2020-08-03,1101.2,1211.6,1101.2,1200.0,628
2020-08-04,1204.2,1204.2,1146.6,1193.0,285
2020-08-05,1230.4,1245.2,1194.6,1227.0,221
2020-08-06,1240.6,1240.6,1179.0,1200.2,208
2020-08-07,1204.0,1258.0,1182.8,1215.0,384
2020-08-10,1215.2,1224.0,1188.0,1203.6,185
2020-08-11,1149.4,1170.4,1055.8,1062.8,411
2020-08-12,1067.0,1072.2,1030.2,1069.6,277
2020-08-13,1090.8,1133.2,1090.8,1116.8,396
2020-08-14,1115.8,1115.8,1069.6,1083.8,238
2020-08-17,1085.2,1204.0,1084.6,1200.6,384
2020-08-21,1156.0,1156.0,1094.8,1111.8,272
2020-08-24,1108.4,1108.4,1021.2,1035.2,257
2020-08-25,1021.0,1084.8,995.3,1066.8,140
2020-08-27,1020.2,1024.2,983.2,1009.6,275
2020-08-31,1077.4,1134.0,1067.2,1122.6,385
2020-09-03,1054.8,1058.0,951.1,960.6,455
2020-09-04,960.2,960.2,807.8,927.0,296
2020-09-14,1007.2,1091.6,1007.0,1091.6,691
2020-09-15,1119.6,1150.0,1104.6,1123.7,333
2020-09-16,1145.8,1237.0,1145.8,1198.0,189
2020-09-21,1118.0,1165.6,1065.4,1099.4,652
2020-09-22,1098.6,1113.8,1021.6,1108.6,215
2020-09-23,1117.4,1117.4,1008.5,1008.5,433
2020-09-24,967.4,1016.8,933.0,983.2,746
2020-09-25,997.8,1057.0,975.4,1051.9,231
2020-09-29,1045.4,1091.2,1038.6,1081.8,150
2020-09-30,1097.0,1122.2,1056.8,1072.6,201
2020-10-02,1067.4,1106.5,1029.2,1043.5,568
2020-10-05,1104.6,1192.7,1104.6,1191.9,344
2020-10-06,1206.0,1233.4,1148.3,1164.8,408
2020-10-13,1353.2,1407.2,1349.0,1391.4,286
2020-10-14,1390.6,1401.0,1308.6,1308.8,385
2020-10-15,1252.6,1329.6,1240.6,1325.2,235
2020-10-19,1354.2,1354.2,1248.4,1252.4,285
2020-10-20,1279.1,1287.8,1200.0,1211.2,490
2020-10-21,1181.0,1191.2,1122.8,1124.2,402
2020-10-22,1171.4,1210.2,1156.6,1207.8,255
2020-10-26,1194.8,1234.4,1140.7,1180.0,160
