Date,Open,High,Low,Close,Volume
2020-10-05,58.32,58.78,53.88,56.23,4230
2020-10-21,57.4,57.4,52.14,52.6,7630
2020-10-22,51.92,51.92,47.64,48.31,10164
2020-10-26,48.88,48.88,44.43,45.85,4100
2020-10-28,40.3,44.27,40.3,42.465,2988
2020-11-04,48.94,53.49,48.38,52.55,18632
2020-11-05,53.14,55.48,52.42,52.68,3736
2020-11-06,51.27,51.27,48.22,48.79,5050
2020-11-09,52.83,52.83,38.955,38.98,24727
2020-11-10,41.405,44.95,39.19,44.15,13017
2020-11-12,46.6,47.12,42.69,43.34,5855
2020-11-13,44.7,47.45,44.7,46.6,12608
2020-11-16,46.23,48.25,45.58,47.75,4100
2020-11-23,49.43,52.32,49.02,51.86,4175
2020-12-02,43.6,43.72,41.58,41.805,6800
2020-12-17,49.85,52.57,49.68,51.43,18108
2021-01-19,50.42,51.71,49.8,51.54,4323
2021-01-20,52.64,59.24,52.02,58.13,13761
2021-01-21,59.69,62.57,59.31,60.75,3912
2021-01-26,64.04,66.93,59.31,59.61,4245
2021-01-27,57.01,59.88,54.73,56.07,4053
2021-01-28,55.17,56.93,53.89,56.76,3681
2021-01-29,55.47,55.47,51.88,53.45,3200
2021-02-08,66.92,70.89,66.92,70.76,4780
2021-02-10,68.0,70.59,65.64,68.62,4829
2021-02-16,67.98,67.98,62.945,63.26,3355
2021-02-23,58.99,60.81,55.25,60.43,2950
2021-02-25,59.89,59.89,52.1,52.39,11615
2021-02-26,54.23,57.26,53.72,56.12,6649
2021-03-04,53.01,56.38,47.31,50.46,5220
2021-03-05,53.02,58.36,49.79,57.94,5200
2021-03-08,59.455,63.91,59.455,61.93,8109
2021-03-09,64.92,64.92,62.02,62.82,3400
2021-03-10,65.14,68.98,65.14,67.53,13374
2021-03-11,68.93,70.13,66.7,67.655,5766
2021-03-17,66.24,75.6,65.26,75.6,4402
2021-03-18,72.52,72.82,65.76,65.8,5202
2021-03-25,62.9,71.24,62.78,71.22,3724
2021-03-26,71.37,79.07,71.2,79.07,5208
2021-04-09,83.17,88.68,83.17,88.5,3122
2021-04-16,89.83,95.93,89.83,94.81,4980
2021-04-20,90.62,90.62,81.79,84.98,5912
2021-04-21,85.05,88.49,85.05,87.77,3510
2021-04-26,93.62,94.53,92.41,94.25,2600
2021-04-27,96.68,99.26,95.73,96.28,2401
2021-05-03,98.95,103.32,98.95,101.95,4850
2021-05-04,100.415,104.44,99.18,104.44,3819
2021-05-07,103.35,110.78,103.32,110.62,6060
2021-05-10,110.635,117.48,110.54,111.63,5595
2021-05-11,104.24,105.84,96.12,98.13,18831
2021-05-12,93.84,93.84,80.24,81.01,10581
2021-05-13,83.28,90.05,83.05,88.79,7675
2021-05-17,90.27,90.27,85.26,88.56,3860
2021-05-18,86.24,86.32,81.75,81.75,3296
2021-05-19,76.28,80.29,74.42,79.04,4027
2021-05-25,84.02,85.41,82.74,82.79,5821
2021-05-26,84.765,87.65,84.765,87.08,3564
2021-06-02,85.73,85.73,83.05,83.11,3478
2021-06-04,80.56,82.86,78.72,82.72,2619
2021-06-10,77.04,77.04,71.95,72.46,4230
2021-06-14,74.85,74.9,70.65,71.42,2691
2021-06-17,70.37,72.64,67.84,70.69,2227
2021-06-29,77.05,79.95,77.0,77.28,3373
2021-07-01,77.54,82.575,77.54,82.07,3314
2021-07-06,78.96,78.96,73.84,76.99,3149
2021-07-07,78.71,81.62,78.27,80.915,3833
2021-07-08,73.92,76.58,71.59,72.69,4100
2021-07-29,80.86,85.61,80.75,84.85,2900
2021-08-11,85.58,92.98,85.58,92.79,4203
2021-08-17,88.56,88.56,80.43,82.34,2775
2021-08-24,86.16,90.85,85.11,88.22,2542
2021-08-25,90.13,91.97,90.01,90.71,2702
2021-09-23,76.86,77.47,75.02,75.02,3699
2021-10-06,65.08,67.74,63.87,67.74,2900
2021-10-07,69.32,71.62,69.32,69.71,5246
2021-10-14,71.96,75.66,71.96,75.66,4100
2021-12-01,99.9,104.135,98.48,98.98,3236
2021-12-03,112.03,112.07,106.03,106.03,4678
2021-12-06,111.86,117.41,111.83,116.2,7304
2021-12-17,107.54,107.91,101.91,103.79,6700
2021-12-27,114.63,117.075,112.52,117.025,49787
2022-01-05,116.81,121.515,109.69,109.73,4367
2022-01-07,102.51,103.04,92.18,92.19,5101
2022-01-10,88.11,92.52,85.92,92.52,4535
2022-01-11,91.77,98.41,90.69,98.07,2600
2022-01-12,99.66,101.845,97.09,99.31,3135
2022-01-13,105.83,107.07,100.32,100.98,4343
2022-01-14,97.4,100.06,93.55,96.26,3774
2022-01-21,71.96,77.11,71.33,72.49,3675
2022-01-31,68.74,74.17,68.42,74.17,2800
2022-02-04,70.37,70.37,64.205,64.81,5845
2022-02-10,67.49,72.49,64.1,64.1,4982
2022-03-09,53.565,56.75,53.565,55.21,2971
2022-03-21,59.65,59.65,54.81,55.73,2900
2022-03-25,47.95,47.95,44.63,45.06,3368
2022-04-11,35.605,37.69,35.605,37.36,3901
2022-04-14,39.89,39.89,36.88,36.88,2824
2022-04-18,36.22,37.35,35.33,35.65,3484
2022-04-28,37.73,40.83,36.02,40.1,4279
2022-05-05,42.85,43.01,37.72,38.68,3800
2022-05-24,32.31,32.44,28.835,30.57,3955
2022-06-27,25.91,27.155,25.42,26.41,4237
2022-06-30,23.57,25.09,23.21,24.65,2738
2022-07-13,32.035,32.215,31.585,32.0,4632
2022-08-03,35.42,35.42,33.95,34.79,3891
2022-10-13,21.02,24.31,20.06,23.73,3238
2022-11-10,28.71,31.5,28.71,30.77,3376
2022-12-08,30.79,32.3,30.79,32.05,2200
2023-01-18,41.45,42.41,39.06,39.06,4444
2023-01-24,40.27,41.09,39.44,40.73,2638
2023-01-25,39.5,40.94,39.17,40.71,3666
2023-01-31,42.46,44.91,42.43,44.91,2958
2023-02-01,44.68,49.11,43.55,49.03,6039
2023-02-02,50.24,53.52,50.24,51.91,5676
2023-02-10,44.53,44.59,43.89,44.44,2501
2023-02-13,45.13,47.49,45.13,47.44,4712
2023-02-21,40.0,40.23,37.61,38.05,5325
2023-03-16,38.46,41.9,38.46,41.52,3181
2023-11-03,58.33,60.01,58.33,59.93,5660
2024-04-02,132.9,132.93,129.505,131.58,4692
2024-04-11,117.75,120.5,116.84,119.48,5148
2024-05-03,121.01,124.35,116.84,116.84,4415
2024-05-16,128.0,128.0,119.82,119.82,2610
2024-06-04,106.04,106.04,100.84,101.26,2600
2024-06-13,105.195,106.17,102.2,106.17,3031
2024-07-11,99.19,107.48,98.83,107.24,6708
2024-07-12,109.69,117.34,109.69,113.16,6376
2024-07-15,115.215,118.14,111.88,111.88,6957
2024-07-16,117.75,132.73,117.75,132.69,4185
2024-07-18,130.74,143.62,130.565,131.14,6856
2024-07-19,131.52,134.89,128.38,130.87,9205
2024-07-22,131.99,135.92,125.83,135.73,5113
2024-07-24,135.1,137.47,125.64,125.64,6076
2024-07-25,127.28,140.3,126.73,134.13,4885
2024-07-26,142.83,149.49,142.83,145.92,5425
2024-08-01,153.87,154.22,137.65,141.49,6218
2024-08-02,128.39,134.69,126.17,133.355,7300
2024-08-06,116.505,128.11,116.505,123.52,6350
2024-08-07,129.96,130.46,112.17,112.17,3966
2024-08-08,116.49,119.65,114.14,118.89,5637
2024-08-09,120.36,121.98,119.22,120.235,3007
2024-08-13,119.5,124.71,118.87,123.41,6429
2024-08-15,127.0,128.32,122.25,126.38,7632
2024-08-16,125.4,129.78,124.6,126.37,4360
2024-08-21,134.53,141.72,134.5,140.945,7636
2024-08-22,141.78,142.92,137.76,139.07,8415
2024-08-23,143.38,157.56,142.73,157.34,10226
2024-08-26,159.1,160.03,151.57,151.61,4355
2024-08-29,146.365,147.45,141.985,143.67,5715
2024-09-03,148.12,150.39,133.88,136.07,6812
2024-09-04,132.06,136.82,130.43,134.755,6247
2024-09-06,135.0,142.35,134.345,134.845,7542
2024-09-13,151.01,158.92,151.01,158.0,10152
2024-09-16,161.68,162.785,155.07,160.29,13201
2024-09-18,165.63,175.01,161.055,163.71,9143
2024-09-19,176.27,176.27,166.87,175.885,12864
2024-10-03,165.99,165.99,159.09,163.9,4080
2024-10-04,160.68,161.83,150.185,152.63,4490
2024-10-18,170.89,177.43,170.355,176.07,9160
2024-10-21,174.67,174.67,157.07,157.5,12093
2024-10-22,144.87,146.195,141.875,142.06,4958
2024-10-29,118.79,129.955,115.37,129.83,9680
2024-11-06,130.37,135.08,124.88,135.08,11805
2024-11-08,139.92,143.02,139.84,141.18,5750
2024-11-25,144.96,161.39,144.96,158.55,7522
2024-12-04,141.92,141.92,135.75,136.68,3265
2024-12-13,114.98,114.98,109.71,111.55,3641
2024-12-16,111.4,114.14,107.8,107.99,3805
2024-12-18,105.95,105.95,92.27,92.27,2965
2024-12-19,90.07,90.07,84.11,84.58,6640
2025-01-03,82.14,84.48,81.82,84.23,5704
2025-01-06,85.65,87.97,82.92,82.92,7618
2025-01-07,83.69,84.48,79.26,79.76,5411
2025-01-08,78.61,82.76,77.33,82.3,16410
2025-01-10,80.51,80.51,77.09,77.29,8112
2025-01-13,76.72,81.025,76.54,80.94,10380
2025-01-14,87.15,88.2,84.85,88.2,5235
2025-01-15,99.385,99.385,94.03,94.79,14594
2025-01-16,93.53,97.315,91.86,97.07,10558
2025-01-17,101.26,101.42,97.67,97.67,5079
2025-01-21,102.29,105.16,97.57,97.67,12888
2025-01-22,96.87,99.33,96.78,99.33,4295
2025-01-27,97.795,104.33,97.795,103.64,8231
2025-01-29,98.0,98.0,91.36,92.39,7830
2025-01-30,95.0,101.65,93.47,99.31,7070
2025-01-31,97.88,97.88,91.78,91.78,3878
2025-02-03,85.51,87.08,82.22,84.37,4823
2025-02-04,84.24,87.29,83.66,86.63,3929
2025-02-05,90.51,91.04,87.7,89.71,23991
2025-02-07,87.3,87.3,79.26,80.24,17119
