Date,Open,High,Low,Close,Volume
2024-02-12,6.879,7.223,6.639,6.826,139320
2024-02-14,7.022,7.139,6.825,7.104,51590
2024-02-23,8.278,8.557,7.719,7.893,65520
2024-03-04,8.904,9.667,8.904,9.181,67160
2024-03-05,9.17,9.35,8.848,9.34,91880
2024-03-06,9.727,10.06,9.69,9.92,64310
2024-03-07,10.23,10.81,10.18,10.81,82190
2024-03-08,11.36,11.89,9.4,9.642,277850
2024-03-11,9.314,9.888,8.938,9.23,118160
2024-03-12,9.7,10.54,9.507,10.54,121280
2024-03-13,10.22,10.4,9.748,10.29,98420
2024-03-14,10.1,10.21,9.362,9.622,93070
2024-03-15,9.493,9.972,9.346,9.602,48850
2024-03-18,10.33,10.58,9.489,9.732,141210
2024-03-19,9.18,10.16,9.028,9.916,72370
2024-03-21,10.54,10.64,10.22,10.28,84510
2024-03-22,10.51,11.12,10.49,11.02,60960
2024-03-25,10.91,11.52,10.89,11.17,64160
2024-03-27,10.44,10.51,9.857,10.1,83270
2024-04-05,9.299,9.625,9.1,9.544,66880
2024-04-09,9.309,9.309,8.508,8.822,98950
2024-04-11,9.434,10.07,9.361,10.06,59620
2024-04-12,9.816,9.816,9.4,9.505,94030
2024-04-15,9.699,9.92,9.024,9.027,68100
2024-04-16,9.119,9.416,9.119,9.329,33440
2024-04-17,9.153,9.156,8.597,8.597,52330
2024-04-18,8.503,9.029,8.3,8.712,70410
2024-04-19,8.387,8.564,6.878,6.967,126210
2024-04-26,8.306,9.182,8.306,9.146,41640
2024-04-30,9.047,9.289,8.841,8.85,96530
2024-05-01,8.553,8.624,7.787,8.166,141820
2024-05-02,8.424,8.743,8.182,8.696,80020
2024-05-03,9.05,9.367,9.032,9.367,51250
2024-05-06,9.5,9.957,9.5,9.93,57810
2024-05-07,9.7,9.815,9.3,9.579,62530
2024-05-10,9.52,9.749,9.385,9.466,46320
2024-05-13,9.598,9.64,9.258,9.532,62000
2024-05-14,9.36,9.821,9.36,9.763,58260
2024-05-15,9.84,10.49,9.84,10.45,85780
2024-05-16,10.45,10.68,10.38,10.38,65390
2024-05-17,10.32,10.37,9.828,9.956,121860
2024-05-20,10.28,10.51,10.27,10.42,49890
2024-05-21,10.16,10.55,10.14,10.46,37600
2024-05-22,10.6,10.6,10.16,10.45,52050
2024-05-23,12.03,12.92,12.01,12.42,278590
2024-05-24,12.58,12.98,12.36,12.98,87120
2024-05-28,13.92,15.11,13.92,14.9,47700
2024-05-29,14.62,15.2,14.13,15.07,59070
2024-05-30,15.02,15.31,13.82,13.99,138540
2024-05-31,14.41,14.42,13.13,13.76,126920
2024-06-03,14.71,15.07,14.43,15.07,71090
