Date,Open,High,Low,Close,Volume
2022-01-06,33.655,34.4,31.88,33.89,3096
2022-03-30,22.81,22.99,20.77,20.82,7955
2022-04-22,18.07,18.28,16.81,16.81,5983
2022-05-20,9.43,9.43,8.39,9.2,5338
2022-06-16,8.35,8.35,7.91,7.93,3317
2022-08-11,12.74,13.09,12.365,12.49,9668
2022-08-17,14.02,14.02,13.18,13.42,4997
2022-09-01,8.71,8.9,8.33,8.75,5510
2022-09-08,9.21,9.21,8.82,9.11,2824
2022-09-20,8.22,8.22,7.77,7.96,6642
2022-09-26,6.93,7.165,6.53,6.53,15049
2022-10-03,6.19,6.6,6.1,6.57,19727
2022-10-13,6.13,7.095,6.11,6.965,8091
2022-10-18,7.51,7.51,6.96,7.09,6369
2022-10-21,6.24,6.79,6.24,6.79,4535
2023-06-05,5.67,5.67,5.465,5.515,6681
2023-06-30,6.87,7.065,6.87,7.01,15358
2023-07-18,7.85,7.935,7.655,7.805,2846
2023-10-11,5.71,5.72,5.43,5.55,4625
2023-10-17,5.69,5.985,5.69,5.85,3659
2023-11-10,5.285,5.36,5.125,5.36,6812
2023-11-15,6.295,6.615,6.295,6.42,8892
2023-11-20,6.205,6.38,6.205,6.35,4985
2023-11-21,6.14,6.32,6.14,6.29,6339
2023-12-20,9.05,9.265,8.76,8.76,4851
2024-01-24,8.08,8.08,7.69,7.74,4634
2024-02-09,8.625,9.01,8.625,9.0,19788
2024-02-12,9.42,9.61,9.38,9.56,55044
2024-02-21,9.085,9.115,8.8,8.92,6708
2024-03-07,10.09,10.2,9.965,10.0,6671
2024-04-15,8.39,8.42,8.05,8.05,4377
2024-04-16,7.83,8.14,7.83,8.11,5154
2024-04-17,8.24,8.24,7.895,7.97,3500
2024-04-18,7.99,8.23,7.94,7.94,3700
2024-07-29,9.88,9.895,9.655,9.725,5826
2024-08-01,10.36,10.36,9.25,9.48,5418
2024-08-02,8.71,8.71,8.29,8.55,11941
2024-08-05,7.46,8.17,7.44,7.95,6267
2024-08-06,7.87,8.385,7.85,8.15,7184
2024-08-09,8.12,8.32,8.12,8.27,3697
2024-08-12,8.23,8.23,8.025,8.025,9340
2024-09-04,8.49,8.6,8.3,8.35,7837
2024-09-06,8.3,8.3,7.785,7.79,6862
2024-10-04,9.02,9.33,9.0,9.12,12238
2024-11-06,9.88,10.02,9.5,9.725,13159
2024-11-08,9.84,9.93,9.77,9.83,6821
2024-11-12,10.3,10.3,9.84,9.97,3946
2024-11-14,10.01,10.2,9.9,9.91,3375
2024-11-18,9.8,9.86,9.56,9.605,6304
2024-11-19,9.35,9.55,9.15,9.47,7801
2024-11-20,9.2,9.22,9.02,9.22,4158
2024-11-22,10.16,10.47,10.12,10.465,8155
2024-11-25,10.96,11.91,10.96,11.61,13823
2024-11-27,11.3,11.3,11.14,11.17,5739
2024-12-05,11.27,11.27,10.96,10.96,7649
2024-12-06,11.34,11.53,11.27,11.37,9067
2024-12-13,11.32,11.335,10.98,11.18,52673
2024-12-19,10.48,10.52,9.92,9.98,9303
2024-12-20,10.04,10.69,10.01,10.41,5256
2025-01-15,9.55,9.57,9.335,9.385,8513
2025-01-27,10.09,10.17,9.89,10.04,11709
2025-01-28,10.1,10.3,10.05,10.25,7001
2025-01-29,10.19,10.19,9.97,10.1,5358
2025-01-30,10.53,10.605,10.4,10.48,5776
2025-01-31,10.39,10.51,9.91,9.96,10690
2025-02-03,9.08,9.7,9.08,9.43,44769
2025-02-04,9.53,9.82,9.51,9.75,4642
2025-02-06,10.21,10.27,9.84,9.86,14003
2025-02-07,9.58,9.58,9.195,9.2,7043
2025-02-13,9.49,9.68,9.42,9.64,3777
2025-02-20,9.12,9.12,8.79,8.98,6993
2025-02-21,8.81,8.81,8.05,8.1,15634
2025-02-24,8.15,8.32,7.99,8.18,4282
2025-02-25,8.44,8.44,8.11,8.28,11093
2025-02-26,8.26,8.35,7.97,7.98,9675
2025-02-27,7.96,7.96,7.49,7.5,7693
2025-02-28,7.58,7.72,7.43,7.72,9247
2025-03-03,7.78,7.78,6.94,6.97,8622
2025-03-04,6.705,7.0,6.41,6.7,49093
2025-03-05,6.71,6.88,6.46,6.88,19957
2025-03-06,6.68,7.03,6.68,6.715,21545
2025-03-07,6.64,6.97,6.44,6.945,23449
2025-03-11,6.29,6.44,5.99,6.165,45094
2025-03-12,6.23,6.25,5.87,5.93,14994
2025-03-13,5.88,5.9,5.39,5.53,21292
2025-03-14,5.69,5.77,5.59,5.75,9094
2025-03-17,5.89,6.2,5.86,6.19,22308
2025-03-18,6.06,6.06,5.84,5.875,21205
2025-03-19,5.97,6.29,5.96,6.185,32441
2025-03-20,6.11,6.35,6.07,6.08,17388
2025-03-21,5.83,6.16,5.74,6.11,26856
2025-03-24,6.44,6.74,6.42,6.74,17219
2025-03-25,6.68,6.68,6.44,6.52,31321
2025-03-26,6.48,6.54,6.38,6.46,10430
2025-03-27,6.34,6.6,6.26,6.415,16540
2025-03-28,6.28,6.28,5.83,5.95,17330
2025-03-31,5.7,6.16,5.7,6.11,27453
2025-04-01,6.14,6.35,6.12,6.31,17958
2025-04-02,6.16,6.76,6.16,6.73,24437
2025-04-03,5.55,5.64,4.91,5.115,75035
2025-04-04,4.6,5.38,4.46,4.91,225931
2025-04-07,4.37,5.47,4.19,4.82,252538
2025-04-08,5.22,5.3,4.125,4.28,169613
2025-04-09,4.29,5.68,4.23,5.51,208620
2025-04-10,5.11,5.16,4.58,5.03,123675
2025-04-11,4.96,5.1,4.62,5.075,56889
2025-04-14,5.31,5.32,4.9,5.17,82692
2025-04-15,5.13,5.25,4.86,4.93,107750
2025-04-16,4.87,4.955,4.63,4.76,35132
2025-04-17,4.88,5.1,4.775,5.1,39701
2025-04-21,4.94,4.98,4.67,4.89,25462
2025-04-22,5.03,5.37,5.03,5.23,87572
2025-04-23,5.71,5.94,5.27,5.28,165025
2025-04-24,5.2,5.56,5.18,5.54,62225
2025-04-25,5.38,5.54,5.37,5.54,40050
2025-04-28,5.6,5.67,5.4,5.58,22502
2025-04-29,5.52,5.68,5.41,5.66,37480
2025-04-30,5.33,5.6,5.19,5.57,21594
2025-05-01,5.58,5.83,5.58,5.67,21400
2025-05-02,6.01,6.12,5.92,6.04,49915
2025-05-05,5.95,6.165,5.95,5.95,35849
2025-05-06,5.78,5.885,5.69,5.8,36220
2025-05-07,6.05,6.06,5.82,5.91,37996
2025-05-08,6.05,6.32,6.025,6.19,37904
2025-05-09,6.16,6.16,5.93,5.98,24665
