Date,Open,High,Low,Close,Volume
2020-07-27,13.86,14.49,13.86,14.45,72000
2020-07-28,14.09,14.11,13.59,13.59,120195
2020-07-29,14.08,14.6,14.03,14.46,81180
2020-07-30,14.59,15.37,14.35,15.34,241125
2020-07-31,15.17,15.27,14.46,15.11,241545
2020-08-03,15.51,16.05,15.51,15.96,88785
2020-08-07,16.46,16.72,15.5,15.95,97500
2020-08-11,15.89,16.38,15.41,15.5,54375
2020-08-12,16.02,17.14,16.02,17.04,116460
2020-08-13,16.98,17.0,16.4,16.52,49530
2020-08-24,16.9,17.0,16.52,16.83,74370
2020-08-31,17.8,18.19,17.45,17.8,62445
2020-09-02,19.83,20.63,19.25,20.48,39930
2020-09-03,19.51,19.51,16.65,16.98,195180
2020-09-08,14.61,15.56,14.13,14.16,76590
2020-09-10,15.82,15.84,14.48,14.71,63000
2020-09-11,15.03,15.37,14.37,14.62,91215
2020-09-17,14.58,15.8,14.58,15.8,89925
2020-09-18,15.97,15.97,14.87,15.1,63255
2020-09-21,14.36,15.02,14.04,15.02,69840
2020-09-24,14.17,15.32,14.17,14.79,104520
2020-09-28,16.0,16.71,15.9,16.68,76260
2020-09-29,16.92,17.24,16.8,16.88,69030
2020-10-02,16.65,17.41,16.36,16.36,94305
2020-10-06,18.05,18.76,17.42,17.6,94230
2020-10-07,18.41,18.71,18.39,18.7,60960
2020-10-12,21.04,21.51,20.87,21.3,60750
2020-10-13,21.32,21.54,20.91,21.26,64680
2020-10-14,21.53,21.53,20.5,20.97,57675
2020-10-15,19.6,20.71,19.59,20.71,64905
2020-10-19,21.0,21.0,19.92,20.04,61935
2020-10-26,18.89,19.07,17.62,18.02,76950
2020-10-28,16.84,16.89,16.13,16.15,99600
2020-10-29,16.21,17.85,16.2,17.66,51810
2020-10-30,16.89,16.91,16.02,16.51,96000
2020-11-03,17.35,18.17,17.34,17.95,54000
2020-11-04,18.79,19.93,18.34,19.73,70770
2020-11-05,21.53,22.43,21.53,22.43,141165
2020-11-06,22.48,23.67,21.96,23.41,63480
2020-11-09,24.96,25.52,22.84,22.84,127050
2020-11-12,22.87,22.87,21.79,21.87,50715
2020-12-09,31.23,31.83,28.7,29.17,79110
2020-12-10,28.53,29.74,28.19,29.34,90195
2020-12-11,28.25,28.75,27.31,28.05,51960
2020-12-14,28.91,29.6,28.87,29.33,47985
2021-01-04,32.17,33.52,30.13,30.65,87045
2021-01-05,31.29,32.45,31.29,32.45,67365
2021-01-08,37.52,37.66,34.67,35.8,70695
2021-01-15,39.58,39.58,37.16,37.78,62700
2021-01-19,39.45,41.77,39.45,41.65,94680
2021-01-22,42.09,42.09,40.99,40.99,44220
2021-01-27,35.17,36.14,32.6,33.07,306555
2021-01-28,35.2,36.58,34.34,35.19,228585
2021-01-29,34.18,35.79,32.92,33.95,154275
