Date,Open,High,Low,Close,Volume
2020-07-27,46.84,47.85,46.84,47.75,21005
2020-07-28,47.54,47.93,46.75,46.83,24988
2020-07-29,47.43,48.82,47.4,48.52,22713
2020-07-30,47.05,48.2,46.18,48.02,53877
2020-07-31,48.99,49.18,46.91,49.18,40236
2020-08-03,50.03,50.57,49.81,50.31,25097
2020-08-04,49.92,50.7,49.91,50.68,20509
2020-08-05,51.39,51.86,51.36,51.79,16220
2020-08-06,51.46,52.82,51.32,52.77,24672
2020-08-07,52.3,52.96,51.875,52.78,38406
2020-08-10,53.2,53.38,52.24,53.345,19502
2020-08-11,54.02,54.25,51.7,52.035,39998
2020-08-12,53.37,54.57,53.37,54.23,23481
2020-08-13,53.83,54.55,53.5,53.92,19793
2020-08-14,53.75,54.14,53.42,53.89,21391
2020-08-17,54.44,54.57,54.32,54.36,7146
2020-08-18,54.75,54.94,53.95,54.66,13347
2020-08-19,54.97,55.225,53.845,54.11,26307
2020-08-20,53.52,54.79,53.49,54.65,9283
2020-08-21,54.45,55.24,54.365,55.19,12185
2020-08-24,56.38,56.64,56.02,56.63,7300
2020-08-25,57.07,57.42,56.68,57.41,6604
2020-08-26,57.74,59.29,57.5,59.17,12433
2020-08-27,59.26,60.29,58.82,59.57,20241
2020-08-28,59.86,60.75,59.78,60.75,5942
2020-08-31,60.59,61.03,60.08,60.49,13505
2020-09-01,60.45,61.76,60.07,61.76,6664
2020-09-02,62.67,64.93,62.22,64.6,20365
2020-09-03,63.45,63.66,56.27,57.9,72524
2020-09-04,57.93,58.85,52.71,56.46,60771
2020-09-08,53.29,53.97,51.575,51.87,41186
2020-09-09,53.74,55.975,53.28,54.87,28343
2020-09-10,55.5,56.04,51.44,51.99,49237
2020-09-11,52.8,53.18,50.66,52.09,34047
2020-09-14,53.61,54.77,53.33,54.01,19720
2020-09-15,55.37,55.63,54.33,54.85,16084
2020-09-16,55.55,56.21,54.16,54.195,20379
2020-09-17,51.53,53.55,51.51,52.71,21461
