Date,Open,High,Low,Close,Volume
2020-07-27,13.56,14.07,13.5,13.98,393408
2020-07-28,13.89,13.96,13.45,13.47,340040
2020-07-29,13.71,14.06,13.7,13.94,198408
2020-07-30,13.58,14.23,13.43,14.15,198432
2020-07-31,14.93,14.93,14.15,14.9,183776
2020-08-03,15.3,15.62,15.29,15.53,96080
2020-08-04,15.46,15.68,15.31,15.67,92368
2020-08-05,15.75,15.86,15.66,15.82,47368
2020-08-06,15.8,16.43,15.69,16.38,42192
2020-08-07,16.29,16.47,15.49,15.86,142392
2020-08-10,15.93,15.94,15.07,15.62,93336
2020-08-11,15.45,15.64,14.71,14.77,170768
2020-08-12,15.16,16.04,15.16,15.89,104856
2020-08-13,16.17,16.37,15.83,15.99,38760
2020-08-14,16.1,16.1,15.73,15.95,91304
2020-08-17,16.26,16.53,16.24,16.45,83160
2020-08-18,16.76,17.01,16.45,16.96,62504
2020-08-19,17.0,17.13,16.57,16.62,93176
2020-08-20,16.48,17.36,16.43,17.34,77664
2020-08-21,17.36,17.72,17.27,17.68,108272
2020-08-24,18.31,18.42,17.6,17.9,260528
2020-08-25,17.86,18.41,17.77,18.41,85152
2020-08-26,18.69,19.63,18.67,19.59,105608
2020-08-27,19.82,19.9,18.98,19.43,245936
2020-08-28,19.69,19.81,19.45,19.72,70864
2020-08-31,19.84,20.53,19.74,20.29,50800
2020-09-01,20.73,21.16,20.48,21.16,153424
2020-09-02,21.94,21.94,20.62,21.91,451720
2020-09-03,20.77,20.77,17.89,18.52,545360
2020-09-04,18.08,18.76,15.51,17.81,778064
2020-09-08,15.59,16.71,15.15,15.15,629968
2020-09-09,16.14,16.83,15.78,16.54,272144
2020-09-10,17.06,17.25,15.24,15.48,660784
2020-09-11,16.0,16.0,14.63,15.26,496976
2020-09-14,15.92,16.29,15.67,16.02,146032
2020-09-15,16.7,16.88,16.41,16.7,330712
2020-09-16,16.82,16.86,15.84,15.84,155640
2020-09-17,14.67,15.47,14.54,15.08,1007312
2020-09-18,15.37,15.41,13.9,14.56,281024
2020-09-21,13.97,14.73,13.62,14.73,280600
2020-09-22,15.13,15.61,14.62,15.56,195096
2020-09-23,15.46,15.5,13.98,14.09,206056
2020-09-24,13.71,14.77,13.7,14.31,349968
2020-09-25,14.41,15.42,14.15,15.34,158368
2020-09-28,16.1,16.2,15.74,16.18,175440
2020-09-29,16.16,16.31,15.98,16.07,124416
2020-09-30,16.15,16.93,16.1,16.45,780840
2020-10-01,17.06,17.24,16.73,17.12,128440
2020-10-02,15.99,16.68,15.66,15.74,1524520
2020-10-05,16.05,16.75,16.05,16.74,167144
2020-10-06,16.64,16.88,15.66,15.81,273600
2020-10-07,16.3,16.73,16.22,16.71,90608
2020-10-08,17.03,17.03,16.72,16.9,117960
2020-10-09,17.18,17.67,17.18,17.67,202008
2020-10-12,18.53,19.82,18.38,19.32,540656
2020-10-13,19.56,19.76,19.05,19.34,417272
2020-10-14,19.32,19.59,18.46,18.82,234288
2020-10-15,17.85,18.54,17.74,18.4,278472
2020-10-16,18.69,19.02,18.19,18.19,211912
2020-10-19,18.49,18.6,17.08,17.19,256488
2020-10-20,17.34,17.9,17.11,17.36,374128
2020-10-21,17.4,17.79,17.24,17.31,219960
2020-10-22,17.49,17.61,16.77,17.27,182744
2020-10-23,17.15,17.41,16.95,17.4,104544
2020-10-26,17.05,17.46,15.95,16.6,519360
2020-10-27,16.78,17.13,16.59,17.0,251864
2020-10-28,16.14,16.24,15.0,15.01,378480
2020-10-29,15.38,16.26,15.16,15.88,364672
2020-10-30,15.45,15.57,14.2,14.6,408328
2020-11-02,14.94,15.25,14.23,14.66,225528
2020-11-03,15.01,15.78,14.91,15.49,462680
2020-11-04,16.95,17.81,16.79,17.5,462352
2020-11-05,18.71,19.04,18.47,18.9,255680
2020-11-06,18.74,19.06,18.01,18.96,217592
2020-11-09,19.51,19.63,17.69,17.72,190024
2020-11-10,17.14,17.4,16.33,16.88,493024
2020-11-11,17.25,18.01,17.21,17.95,219160
2020-11-12,18.11,18.36,17.48,17.62,180584
2020-11-13,18.05,18.22,17.61,18.18,84576
2020-11-16,17.98,18.59,17.98,18.5,85464
2020-11-17,18.59,18.63,18.3,18.36,138640
2020-11-18,18.29,18.58,17.99,17.99,81520
2020-11-19,17.86,18.43,17.79,18.42,125304
2020-11-20,18.32,18.53,18.03,18.03,47768
2020-11-23,18.3,18.46,17.62,18.02,119296
2020-11-24,18.22,18.86,17.99,18.8,168000
2020-11-25,19.02,19.25,18.82,19.14,981952
2020-11-27,19.5,19.87,19.48,19.6,911936
2020-11-30,19.73,19.83,18.83,19.77,369792
2020-12-01,20.21,20.85,20.03,20.61,289784
2020-12-02,20.25,20.66,19.91,20.58,108904
2020-12-03,20.75,20.96,20.56,20.61,121992
2020-12-04,20.7,20.96,20.56,20.95,116952
2020-12-07,20.96,21.34,20.96,21.31,158640
2020-12-08,21.26,21.58,20.84,21.53,162560
2020-12-09,21.48,21.51,19.86,20.13,321336
2020-12-10,19.64,20.52,19.42,20.33,306160
2020-12-11,19.96,20.18,19.51,20.1,176760
2020-12-14,20.45,20.98,20.45,20.55,172992
2020-12-15,21.08,21.25,20.64,21.25,123464
2020-12-16,21.31,21.76,21.13,21.61,138400
2020-12-17,21.97,22.08,21.81,22.05,137464
2020-12-18,22.17,22.22,21.34,21.88,199768
2020-12-21,21.17,21.79,20.64,21.69,200776
2020-12-22,21.85,22.06,21.34,21.85,126896
2020-12-23,21.92,21.94,21.54,21.54,93840
