Date,Open,High,Low,Close,Volume
2024-01-29,13.23,13.95,13.03,13.94,22756
2024-01-31,13.35,14.36,13.35,13.4,11182
2024-02-05,12.95,12.95,11.66,12.47,8907
2024-02-26,14.14,15.17,14.14,14.85,13145
2024-02-27,15.49,15.5,14.68,14.805,28612
2024-02-28,14.97,15.655,14.8,15.26,13667
2024-02-29,15.6,15.69,14.87,15.215,11741
2024-03-01,14.89,15.47,14.79,15.3,12052
2024-03-04,14.85,14.85,12.93,13.29,8944
2024-03-05,12.35,12.54,11.68,12.07,18379
2024-03-06,12.1,12.17,11.4,11.5,6875
2024-03-07,11.37,11.895,11.37,11.755,8463
2024-03-08,12.15,12.28,11.31,11.33,16845
2024-03-13,11.06,11.39,10.5,10.53,21829
2024-03-14,10.52,10.7,9.495,9.65,9874
2024-03-18,10.45,11.09,10.12,10.985,22990
2024-03-26,11.62,12.245,11.4,11.4,25704
2024-04-03,9.83,10.235,9.61,10.185,22646
2024-04-04,10.41,11.025,10.22,10.64,36741
2024-04-05,10.2,10.38,9.36,9.8,30104
2024-04-12,10.62,10.725,10.32,10.405,11276
2024-04-17,8.67,8.78,8.36,8.58,13058
2024-04-23,7.215,7.595,7.005,7.35,64322
2024-04-24,9.21,9.64,8.66,9.12,37959
2024-04-29,12.01,13.24,11.7,12.745,16142
2024-05-01,11.34,11.61,10.835,10.985,7674
2024-05-03,11.2,11.37,10.77,11.09,11606
2024-05-06,11.45,11.82,11.23,11.505,4744
2024-05-08,9.81,10.4,9.765,10.22,7747
2024-06-13,11.54,11.85,10.82,10.82,12991
2024-06-14,11.275,11.29,10.24,10.335,14553
2024-06-17,10.39,11.575,10.39,11.575,3677
2024-06-20,11.09,11.09,10.52,10.715,13657
2024-06-25,10.92,11.385,10.775,11.365,5972
2024-06-27,12.26,12.72,12.21,12.565,21729
2024-06-28,12.91,13.28,12.33,12.635,63499
2024-07-01,13.355,14.57,13.355,14.18,9863
2024-07-02,15.46,16.945,15.39,16.795,21300
2024-07-03,17.57,19.36,17.57,19.175,7288
2024-07-05,19.715,19.995,18.65,19.995,13939
2024-07-08,19.16,21.12,18.98,20.22,28916
2024-07-09,20.45,22.24,20.45,21.685,38144
2024-07-10,21.98,22.535,21.0,22.01,13043
2024-07-11,21.91,23.12,18.01,18.21,209013
2024-07-12,17.92,19.68,17.905,19.315,10029
2024-07-15,20.43,21.88,19.9,19.985,22745
2024-07-16,20.79,20.79,18.86,20.53,30083
2024-07-17,19.96,20.55,18.975,19.18,21900
2024-07-18,19.57,20.44,19.17,19.29,19367
2024-07-19,19.105,19.24,17.53,17.8,10386
2024-07-22,18.5,19.77,18.49,19.595,38693
2024-07-23,19.91,20.22,18.71,18.8,26119
2024-07-24,15.49,15.49,13.995,14.195,23331
2024-07-25,14.17,15.37,14.17,14.75,62474
2024-07-26,14.77,14.875,14.045,14.6,13019
2024-07-29,15.45,16.47,15.45,16.18,73482
2024-07-30,16.23,16.23,14.57,14.88,9525
2024-07-31,15.49,16.35,15.49,16.085,30999
2024-08-01,15.55,16.01,13.725,14.05,72359
2024-08-02,13.46,13.9,12.59,12.8,208121
2024-08-05,9.9,12.3,9.68,11.645,119278
2024-08-06,11.78,12.18,11.01,11.89,138068
2024-08-07,11.9,12.25,10.86,10.87,115816
2024-08-08,11.27,11.81,10.91,11.62,97418
2024-08-09,11.43,11.88,11.28,11.8,29626
2024-08-12,11.61,11.61,11.18,11.455,21854
2024-08-13,11.47,12.74,11.47,12.64,30431
2024-08-14,12.72,12.72,11.58,11.9,39539
2024-08-15,12.39,13.51,12.39,13.38,28531
2024-08-16,13.19,14.03,13.11,13.64,37398
2024-08-19,13.91,14.46,13.5,14.45,18524
2024-08-20,14.81,15.05,14.085,14.26,12696
2024-08-21,14.32,14.65,13.96,14.5,23370
2024-08-22,14.67,14.67,12.83,12.85,27060
2024-08-23,13.35,14.16,13.3,14.02,73264
2024-08-26,13.78,13.78,12.85,13.105,52402
2024-08-27,13.23,13.32,12.4,12.63,25115
2024-08-28,12.76,12.86,11.83,12.16,33379
2024-08-29,12.76,13.16,12.23,12.24,35603
2024-08-30,12.61,13.18,12.375,13.16,25041
2024-09-04,12.83,14.06,12.83,13.745,26489
2024-09-05,14.26,15.7,14.26,15.08,41445
2024-09-06,15.45,15.53,12.59,12.59,35576
2024-09-09,13.16,13.59,12.9,13.21,43663
2024-09-10,13.88,14.35,13.55,14.35,37200
2024-09-11,14.06,14.625,13.21,14.625,65873
2024-09-12,14.16,15.01,14.16,14.82,24852
2024-09-13,14.54,15.18,14.45,14.88,17437
2024-09-16,14.77,14.79,14.03,14.41,15165
2024-09-17,14.98,15.38,14.44,14.53,14477
2024-09-18,14.96,15.49,14.43,14.49,28770
2024-09-19,15.27,16.58,15.11,16.49,31222
2024-09-20,16.16,16.43,15.53,15.83,17084
2024-09-23,16.36,17.34,16.28,17.34,42562
2024-09-24,17.92,18.27,17.25,17.9,50564
2024-09-25,17.73,18.29,17.73,18.29,8026
2024-09-26,18.78,18.91,17.58,17.91,24977
2024-09-27,18.3,18.79,17.92,18.76,44063
2024-09-30,18.54,19.36,18.17,18.88,39495
2024-10-01,19.22,19.22,17.09,18.34,36547
2024-10-02,16.98,17.33,16.06,17.125,19939
2024-10-03,16.65,17.18,15.65,15.985,25498
2024-10-04,16.83,17.23,16.48,17.18,92013
2024-10-07,17.08,17.08,15.895,15.91,21596
2024-10-08,16.27,16.54,16.06,16.365,16695
2024-10-09,16.13,16.75,15.74,15.92,33228
2024-10-10,15.98,16.08,14.76,15.63,44735
2024-10-11,13.01,13.54,12.44,12.82,86356
2024-10-14,13.12,13.3,12.375,12.985,132072
2024-10-15,13.04,13.58,12.76,13.03,137054
2024-10-16,13.26,13.38,12.97,13.23,18728
2024-10-17,13.255,13.28,12.83,13.18,27577
2024-10-18,13.14,13.34,12.99,13.155,23513
2024-10-21,12.96,13.07,12.575,12.9,29290
2024-10-22,12.61,12.83,12.49,12.81,31176
2024-10-23,12.73,12.86,12.14,12.29,41796
2024-10-24,15.9,17.86,15.65,17.67,152536
2024-10-25,16.99,18.87,16.99,18.82,194397
2024-10-28,19.01,19.395,17.88,17.88,25775
2024-10-29,18.16,18.16,16.98,17.47,75002
2024-10-30,17.235,17.95,17.06,17.21,45924
2024-10-31,17.34,17.43,16.1,16.14,63971
2024-11-01,16.48,16.62,15.76,16.06,55182
2024-11-04,15.49,15.99,14.77,15.25,38783
2024-11-05,15.7,16.81,15.7,16.33,184743
2024-11-06,20.67,21.24,19.51,21.1,66023
2024-11-07,21.22,22.73,20.75,22.36,58389
2024-11-08,22.66,27.13,22.47,25.97,163772
2024-11-11,30.03,32.01,28.35,30.64,167334
2024-11-12,29.25,29.8,26.05,26.86,74537
2024-11-13,28.05,29.43,26.01,27.16,88238
2024-11-14,26.71,27.02,23.88,23.97,75275
2024-11-15,23.9,26.02,23.7,25.46,116528
2024-11-18,28.56,29.77,26.91,28.28,62327
2024-11-19,27.88,29.65,27.56,29.47,43808
2024-11-20,29.42,29.42,27.5,28.8,31390
2024-11-21,29.18,29.77,27.7,28.42,45349
2024-11-22,28.76,31.09,28.1,30.53,56024
2024-11-25,31.73,31.94,28.04,28.11,85284
2024-11-26,28.4,29.44,27.61,28.03,30209
2024-11-27,28.37,28.37,26.14,27.11,27872
2024-11-29,27.62,29.08,27.6,29.08,14083
2024-12-02,30.255,31.43,30.2,31.0,19047
2024-12-03,30.06,30.6,29.51,30.06,14471
2024-12-04,30.24,31.135,29.57,31.135,13633
2024-12-05,31.76,34.14,31.76,33.12,18658
2024-12-06,34.14,36.67,33.55,36.6,22052
2024-12-09,38.28,39.51,34.6,36.69,35913
2024-12-10,37.31,40.44,37.05,38.85,70849
2024-12-11,40.27,43.43,39.12,43.43,60766
2024-12-12,43.25,44.3,41.42,42.01,59925
2024-12-13,42.45,45.63,41.61,45.63,62309
2024-12-16,46.23,51.19,45.79,51.19,41515
2024-12-17,53.98,55.66,50.08,54.88,79775
2024-12-18,51.83,56.74,42.87,46.28,162762
2024-12-19,48.04,49.14,41.59,44.87,196004
2024-12-20,42.99,47.07,41.14,41.89,81927
2024-12-24,44.685,50.0,44.59,49.93,33505
2024-12-26,50.435,50.435,47.56,48.29,48185
2024-12-27,47.12,47.21,42.43,43.41,52646
2024-12-30,40.79,42.28,40.22,40.505,115914
2024-12-31,41.71,42.17,37.67,37.98,61205
2025-01-02,35.33,35.475,32.17,33.13,91356
2025-01-03,33.62,38.92,33.38,38.59,75392
2025-01-06,41.0,41.64,37.0,38.71,50203
2025-01-07,37.8,39.12,34.77,35.47,44392
2025-01-08,35.18,36.91,34.35,35.72,55147
